"Dummy ID","Legacy"
"3.0129517E7","O"
"3.0090296E7","O"
"3.0227953E7","F"
"3.0308592E7","S"
"3.0207725E7","C"
"3.0202161E7","B"
"3.0308046E7","A"
"3.0309424E7","O"
"3.031686E7","O"
"3.0293889E7","S"
"3.0339467E7","O"
"3.0383849E7","S"
"3.0110264E7","M"
"3.0371941E7","C"
"3.0370589E7","S"
"3.0084667E7","O"
"3.0384902E7","O"
"3.0296372E7","B"
"3.0159105E7","S"
"3.0311127E7","S"
"3.0146469E7","B"
"3.0124915E7","A"
"2.9971372E7","A"
"3.0285244E7","M"
"3.0198885E7","M"
"3.0117973E7","M"
"3.0317172E7","O"
"3.0394366E7","S"
"3.0150356E7","S"
"3.0368262E7","O"
"3.0085317E7","M"
"3.0165397E7","S"
"3.0297802E7","C"
"3.018725E7","M"
"3.0203851E7","B"
"3.0112981E7","S"
"3.0232503E7","O"
"2.9966783E7","B"
"3.0302885E7","B"
"2.9347203E7","O"
"3.0324088E7","M"
"3.020766E7","S"
"3.0145689E7","S"
"3.0297646E7","C"
"3.0232282E7","M"
"3.034533E7","C"
"3.0312739E7","M"
"3.0238808E7","S"
"3.008338E7","C"
"3.0363075E7","S"
"3.0138929E7","S"
"3.0248857E7","F"
"3.0347761E7","M"
"2.9975116E7","D"
"3.0254161E7","S"
"3.0381613E7","S"
"3.0143388E7","B"
"3.0288507E7","M"
"3.0194166E7","O"
"3.0119728E7","O"
"3.0161341E7","O"
"3.0127177E7","O"
"3.0111798E7","M"
"2.9372072E7","F"
"3.0193295E7","A"
"3.0400489E7","F"
"3.0417389E7","S"
"2.996157E7","O"
"3.0224196E7","M"
"3.0178384E7","F"
"3.0192632E7","F"
"3.0243163E7","F"
"2.9964586E7","D"
"3.0079155E7","M"
"3.0498548E7","O"
"2.9965522E7","S"
"3.0399865E7","B"
"3.0195921E7","F"
"3.0290444E7","M"
"3.0212769E7","O"
"3.0308943E7","O"
"3.0213484E7","F"
"3.0203578E7","O"
"3.0104193E7","S"
"3.0281006E7","A"
"3.0311218E7","D"
"3.0310334E7","B"
"3.0318043E7","S"
"3.0213367E7","O"
"3.0126761E7","S"
"3.0208089E7","M"
"3.0108847E7","M"
"3.0316171E7","F"
"3.0227667E7","O"
"2.9962233E7","A"
"3.032401E7","O"
"3.0238327E7","M"
"3.0398305E7","D"
"3.0111759E7","F"
"3.0168608E7","O"
"2.997353E7","M"
"2.9962883E7","F"
"3.0343094E7","O"
