"Dummy ID","Gender","Minority Status","Residency","State","County Description","Zip 3","Nation Description","Residence Hall","Division","Cognate Area"
"3.0338154E7","F","Domestic Minority","R","OH","Greene County^ OH","453","","Y","EA",""
"3.0189733E7","F","Domestic Nonminority","R","OH","Cuyahoga County^ OH","441","","Y","AS","University Studies"
"3.0158039E7","M","Domestic Nonminority","R","OH","Marion County^ OH","433","","Y","AS","University Studies"
"3.0289586E7","F","Domestic Nonminority","R","OH","Geauga County^ OH","440","","Y","AP",""
"2.936318E7","F","Domestic Nonminority","R","OH","Clermont County^ OH","451","","Y","EA",""
"2.9958671E7","M","Domestic Nonminority","R","OH","Warren County^ OH","450","","Y","AP",""
"3.0142205E7","F","Domestic Nonminority","N","IN","Warrick County^ IN","476","","Y","AS","Social Sciences"
"3.028904E7","M","Domestic Nonminority","R","OH","Medina County^ OH","442","","Y","AS","University Studies"
"3.0172794E7","M","Domestic Nonminority","R","OH","Hamilton County^ OH","452","","Y","AP",""
"3.0187653E7","F","Domestic Nonminority","R","OH","Lake County^ OH","440","","Y","AP",""
"3.025329E7","F","Domestic Nonminority","R","OH","Clermont County^ OH","451","","Y","AS","Humanities"
"3.0307019E7","F","Domestic Nonminority","R","OH","Fulton County^ OH","435","","Y","FA",""
"2.9957189E7","F","Domestic Nonminority","R","OH","Butler County^ OH","450","","Y","FA",""
"3.0176343E7","M","Domestic Nonminority","N","IN","Franklin County^ IN","470","","","AS","Natural Sciences"
"3.0237859E7","M","Domestic Minority","R","OH","Fayette County^ OH","431","India","Y","AP",""
"3.0515604E7","M","International","I","",""," ","China","Y","EA",""
"3.0265341E7","M","Domestic Minority","N","NY","Westchester County^ NY","105","","Y","AP",""
"2.996482E7","M","Domestic Nonminority","R","OH","Wayne County^ OH","442","","Y","EA",""
"3.0156401E7","F","Domestic Minority","R","VA","Roanoke County^ VA","240","","Y","AP",""
"3.0162147E7","F","Domestic Nonminority","R","OH","Geauga County^ OH","440","","Y","EA",""
"3.009339E7","M","Domestic Nonminority","R","OH","Cuyahoga County^ OH","441","","Y","FA",""
"3.0339831E7","M","Domestic Minority","R","OH","Warren County^ OH","450","","Y","FA",""
"3.0291848E7","F","Domestic Nonminority","N","IL","Cook County^ IL","600","","Y","BU",""
"3.0231879E7","F","Domestic Nonminority","R","OH","Mercer County^ OH","458","","","EA",""
"3.0306434E7","F","Domestic Nonminority","R","OH","Montgomery County^ OH","454","","Y","AS","Natural Sciences"
"3.0225145E7","F","Domestic Nonminority","R","OH","Clermont County^ OH","451","","Y","AS","University Studies"
